finaldays,Date,Teams,Side,Opponent,Won,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Pick1,Pick2,Pick3,Pick4,Pick5,Pick6,Ban7,Ban8,Ban9,Ban10,Pick7,Pick8,Pick9,Pick10
-218.05812500000002,2025-02-23T20:06:05.365Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Yone,Taliyah,Vi,Cassiopeia,Sylas,Kalista,Varus,Sejuani,Ambessa,Renata Glasc,Zyra,Akali,Jax,Aurora,Gangplank,Renekton,Nocturne,Orianna,Neeko
-218.05812500000002,2025-02-23T21:12:17.222Z,100 Thieves,blue,Team Liquid,FALSE,Rumble,Yone,Taliyah,Vi,Cassiopeia,Jayce,Pantheon,Xin Zhao,Kai'Sa,Xayah,Rakan,Nautilus,Ryze,Hwei,Galio,Aurora,Jax,Ornn,Viktor,Aurelion Sol
-175.184375,2025-04-05T23:03:28.755Z,100 Thieves,red,Cloud9,TRUE,Jayce,Rumble,Yone,Naafiri,Kalista,Poppy,Gwen,Varus,Vi,Ezreal,Ryze,Azir,Xin Zhao,Jax,Kindred,Nautilus,Riven,Alistar,Lee Sin,Renata Glasc
-174.184375,2025-04-06T21:16:28.599Z,100 Thieves,red,Team Liquid,FALSE,Vi,Rumble,Yone,Taliyah,Gwen,Skarner,Varus,Naafiri,Miss Fortune,Xin Zhao,Jayce,Ryze,Cassiopeia,Ambessa,Renata Glasc,Sion,Alistar,Azir,Poppy,Aatrox
-168.184375,2025-04-12T21:05:02.264Z,100 Thieves,blue,FlyQuest,FALSE,Ivern,Varus,Rumble,Vi,Jayce,Bard,Kalista,Sejuani,Neeko,Renata Glasc,Xin Zhao,Yone,Akali,Vladimir,Sylas,Yorick,Caitlyn,Ahri,Gnar,Aatrox
-167.184375,2025-04-13T20:06:59.142Z,100 Thieves,blue,Disguised,TRUE,Rumble,Vi,Jayce,Yone,Akali,Gwen,Varus,Sejuani,Neeko,Gnar,Sylas,Ambessa,Xin Zhao,Kalista,Naafiri,Ezreal,Ryze,Karma,Jarvan IV,Jhin
-161.184375,2025-04-19T21:51:29.750Z,100 Thieves,red,Dignitas,TRUE,Yone,Rumble,Gwen,Vi,Azir,Yorick,Varus,Jayce,Sejuani,Sion,Naafiri,Sylas,Ryze,Kalista,Aurora,Poppy,Ezreal,Viktor,Nautilus,Braum
-160.184375,2025-04-20T20:07:07.676Z,100 Thieves,red,LYON,TRUE,Kalista,Rumble,Yone,Vi,Sejuani,Yorick,Varus,Jayce,Ezreal,Xin Zhao,Azir,Taliyah,Sion,Alistar,Ambessa,Poppy,Naafiri,Nautilus,K'Sante,Rell
-159.184375,2025-04-21T22:34:29.713Z,100 Thieves,blue,Shopify Rebellion,TRUE,Rumble,Kalista,Jayce,Varus,Yone,Vi,Azir,Taliyah,Xin Zhao,Naafiri,Miss Fortune,Ezreal,Nautilus,Poppy,Rell,Alistar,Leona,Rakan,Gnar,Malphite
-154.184375,2025-04-26T20:08:40.655Z,100 Thieves,blue,FlyQuest,FALSE,Rumble,Vi,Neeko,Varus,Yone,Naafiri,Kalista,Xin Zhao,Azir,Taliyah,Pantheon,Corki,Renata Glasc,Yorick,Poppy,Sion,Alistar,Jayce,Nautilus,Gragas
-154.184375,2025-04-26T21:16:30.700Z,100 Thieves,blue,FlyQuest,FALSE,Rumble,Vi,Cassiopeia,Varus,Poppy,Yone,Naafiri,Viktor,Sejuani,Ryze,Miss Fortune,Renekton,Gwen,Ezreal,Rell,Neeko,Rakan,Bard,Gnar,Xayah
-145.7475,2025-05-04T20:08:48.933Z,100 Thieves,blue,Dignitas,TRUE,Rumble,Azir,Yone,Vi,Jayce,Gnar,Varus,Ezreal,Renekton,Gwen,Taliyah,Ahri,Xin Zhao,Leona,Pantheon,Alistar,Naafiri,Viego,Nautilus,Rell
-145.7475,2025-05-04T21:12:17.456Z,100 Thieves,red,Dignitas,TRUE,Poppy,Rumble,Azir,Vi,Gnar,Yorick,Jayce,Yone,Sejuani,Lillia,Kalista,Camille,Jax,Lucian,Renata Glasc,Neeko,Ziggs,Alistar,Ambessa,Leona
-139.7475,2025-05-10T22:16:33.453Z,100 Thieves,red,Shopify Rebellion,TRUE,Ahri,Vi,Sejuani,Varus,Jayce,Yone,Taliyah,Naafiri,Gwen,Pantheon,Rumble,Viktor,Lucian,Kalista,Alistar,Braum,Jhin,Ezreal,Nautilus,Leona
-139.7475,2025-05-10T23:13:37.273Z,100 Thieves,red,Shopify Rebellion,FALSE,Jayce,Vi,Sejuani,Varus,Kalista,Maokai,Xin Zhao,Renekton,Nidalee,Ahri,Sion,Yone,Poppy,Rell,Lucian,Ziggs,Alistar,Xayah,Rakan,Smolder
-138.7475,2025-05-11T00:10:23.675Z,100 Thieves,blue,Shopify Rebellion,FALSE,Yorick,Vi,Sejuani,Varus,Ambessa,Jayce,Azir,Gnar,Lucian,Miss Fortune,Rell,Milio,Camille,Orianna,Jax,Poppy,Xerath,Irelia,Nocturne,Maokai
-131.7475,2025-05-18T21:53:19.036Z,100 Thieves,blue,Disguised,TRUE,Rumble,Vi,Jayce,Yone,Poppy,Gwen,Naafiri,Taliyah,Pantheon,Varus,Ahri,Ambessa,Renekton,Kalista,Gnar,Lucian,Ziggs,Nautilus,Riven,Leona
-131.7475,2025-05-18T22:38:48.879Z,100 Thieves,red,Disguised,TRUE,Yone,Rumble,Gwen,Jayce,Vi,Poppy,Xin Zhao,Kalista,Renata Glasc,Annie,Sion,Aatrox,Neeko,Galio,Karma,Sejuani,Viktor,Caitlyn,Ashe,Trundle
-118.31062499999996,2025-06-01T20:08:05.525Z,100 Thieves,blue,Shopify Rebellion,FALSE,Rumble,Pantheon,Poppy,Vi,Yone,Varus,Taliyah,Senna,Nautilus,Naafiri,Gwen,Xin Zhao,Smolder,Annie,Alistar,Ahri,Gnar,Jhin,Leona,Ryze
-118.31062499999996,2025-06-01T21:14:15.913Z,100 Thieves,blue,Shopify Rebellion,FALSE,Rumble,Vi,Neeko,Pantheon,Yone,Varus,Azir,Lucian,Annie,Sejuani,Renekton,Trundle,Kalista,Sion,Ezreal,Jayce,Yorick,Xayah,Rakan,Milio
